,student_id,How likely are you to use this model for academic tasks?,label,best_task_brainstorming_or_generating_creative_ideas,best_task_converting_content_between_formats_e.g.,best_task_data_processing_or_analysis,best_task_drafting_professional_text_e.g.,best_task_explaining_complex_concepts_simply,best_task_latex,best_task_math_computations,best_task_writing_or_debugging_code,best_task_writing_or_editing_essays/reports,best_task_emails,best_task_résumés,subopt_task_brainstorming_or_generating_creative_ideas,subopt_task_converting_content_between_formats_e.g.,subopt_task_data_processing_or_analysis,subopt_task_drafting_professional_text_e.g.,subopt_task_explaining_complex_concepts_simply,subopt_task_latex,subopt_task_math_computations,subopt_task_writing_or_debugging_code,subopt_task_writing_or_editing_essays/reports,subopt_task_emails,subopt_task_résumés
0,1,3,ChatGPT,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0
1,1,4,Claude,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1
2,1,3,Gemini,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
3,2,5,ChatGPT,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1
4,2,4,Claude,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1
5,2,1,Gemini,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0
6,3,3,ChatGPT,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
7,3,1,Claude,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,1,Gemini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,3,ChatGPT,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
10,4,1,Claude,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,1,Gemini,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5,4,ChatGPT,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
13,5,2,Claude,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
14,5,2,Gemini,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
15,6,4,ChatGPT,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0
16,6,1,Claude,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,6,1,Gemini,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
18,7,4,ChatGPT,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1
19,7,4,Claude,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1
20,7,2,Gemini,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
21,8,4,ChatGPT,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0
22,8,4,Claude,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
23,8,4,Gemini,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
24,9,3,ChatGPT,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
25,9,1,Claude,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1
26,9,3,Gemini,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0
27,10,3,ChatGPT,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0
28,10,1,Claude,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,10,2,Gemini,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
30,11,5,ChatGPT,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
31,11,1,Claude,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,11,1,Gemini,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,12,4,ChatGPT,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0
34,12,3,Claude,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
35,12,3,Gemini,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
36,13,3,ChatGPT,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
37,13,3,Claude,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
38,13,3,Gemini,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
39,14,4,ChatGPT,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
40,14,4,Claude,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1
41,14,5,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,15,4,ChatGPT,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0
43,15,3,Claude,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
44,15,3,Gemini,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
45,16,4,ChatGPT,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
46,16,2,Claude,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,16,2,Gemini,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
48,17,3,ChatGPT,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
49,17,1,Claude,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
50,17,1,Gemini,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
51,18,4,ChatGPT,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
52,18,2,Claude,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
53,18,4,Gemini,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,19,5,ChatGPT,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
55,19,3,Claude,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
56,19,3,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,20,3,ChatGPT,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
58,20,4,Claude,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
59,20,2,Gemini,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
60,21,4,ChatGPT,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
61,21,1,Claude,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1
62,21,3,Gemini,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1
63,22,3,ChatGPT,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0
64,22,3,Claude,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0
65,22,1,Gemini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,23,1,ChatGPT,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
67,23,1,Claude,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,23,1,Gemini,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
69,24,4,ChatGPT,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1
70,24,5,Claude,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
71,24,1,Gemini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,25,4,ChatGPT,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
73,25,2,Claude,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,25,2,Gemini,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,26,3,ChatGPT,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
76,26,3,Claude,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
77,26,3,Gemini,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,27,2,ChatGPT,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0
79,27,2,Claude,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,27,2,Gemini,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0
81,28,3,ChatGPT,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
82,28,1,Claude,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
83,28,1,Gemini,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
84,29,4,ChatGPT,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
85,29,1,Claude,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,29,3,Gemini,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
87,30,5,ChatGPT,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0
88,30,4,Claude,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
89,30,2,Gemini,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
90,31,4,ChatGPT,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0
91,31,4,Claude,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
92,31,3,Gemini,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
93,32,5,ChatGPT,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
94,32,4,Claude,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
95,32,4,Gemini,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
96,33,4,ChatGPT,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0
97,33,3,Claude,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
98,33,2,Gemini,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
99,34,5,ChatGPT,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
100,34,3,Claude,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
101,34,1,Gemini,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0
102,35,1,ChatGPT,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
103,35,3,Claude,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
104,35,3,Gemini,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
105,36,4,ChatGPT,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0
106,36,1,Claude,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0
107,36,1,Gemini,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
108,37,5,ChatGPT,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
109,37,1,Claude,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0
110,37,4,Gemini,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1
111,38,5,ChatGPT,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
112,38,3,Claude,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,38,4,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
114,39,3,ChatGPT,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0
115,39,2,Claude,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
116,39,3,Gemini,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
117,40,4,ChatGPT,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0
118,40,3,Claude,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1
119,40,2,Gemini,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,41,5,ChatGPT,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0
121,41,4,Claude,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
122,41,4,Gemini,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0
123,42,1,ChatGPT,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
124,42,1,Claude,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,42,1,Gemini,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1
126,43,2,ChatGPT,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0
127,43,2,Claude,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0
128,43,3,Gemini,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
129,44,3,ChatGPT,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0
130,44,1,Claude,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
131,44,2,Gemini,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
132,45,4,ChatGPT,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
133,45,3,Claude,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134,45,4,Gemini,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
135,46,4,ChatGPT,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
136,46,3,Claude,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
137,46,3,Gemini,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0
138,47,3,ChatGPT,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
139,47,2,Claude,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
140,47,3,Gemini,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
141,48,5,ChatGPT,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
142,48,3,Claude,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
143,48,4,Gemini,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
144,49,5,ChatGPT,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
145,49,3,Claude,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
146,49,4,Gemini,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
147,50,4,ChatGPT,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1
148,50,2,Claude,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1
149,50,1,Gemini,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
150,51,5,ChatGPT,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
151,51,4,Claude,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
152,51,3,Gemini,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
153,52,2,ChatGPT,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
154,52,2,Claude,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
155,52,2,Gemini,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0
156,53,3,ChatGPT,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
157,53,4,Claude,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0
158,53,4,Gemini,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0
159,54,4,ChatGPT,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
160,54,4,Claude,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
161,54,2,Gemini,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
162,55,4,ChatGPT,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0
163,55,4,Claude,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
164,55,2,Gemini,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
165,56,3,ChatGPT,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
166,56,2,Claude,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1
167,56,3,Gemini,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0
168,57,4,ChatGPT,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0
169,57,3,Claude,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1
170,57,2,Gemini,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
171,58,4,ChatGPT,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0
172,58,3,Claude,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0
173,58,1,Gemini,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
174,59,3,ChatGPT,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
175,59,1,Claude,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
176,59,1,Gemini,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
177,60,4,ChatGPT,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0
