,param_hidden_layer_sizes,param_activation,param_learning_rate_init,param_solver,param_alpha,mean_test_score,std_test_score
63,"(40, 5)",relu,0.01,adam,1e-05,0.5752688172043011,0.03410907940981056
32,"(50, 20)",relu,0.001,adam,0.0001,0.5739247311827956,0.02300704673202111
8,"(60,)",relu,0.001,adam,0.0001,0.5739247311827956,0.022044649821043993
23,"(40, 5)",relu,0.01,adam,0.0001,0.5725806451612904,0.029813270178519955
77,"(60, 10)",relu,0.01,adam,1e-05,0.5725806451612904,0.018032806270159612
3,"(30,)",relu,0.01,adam,0.0001,0.571236559139785,0.02253098738473148
24,"(40, 10)",relu,0.001,adam,0.0001,0.5698924731182796,0.02064824125771134
48,"(60,)",relu,0.001,adam,1e-05,0.5698924731182795,0.023588613944602498
39,"(60, 20)",relu,0.01,adam,0.0001,0.5685483870967742,0.02269078362383623
16,"(30, 5)",relu,0.001,adam,0.0001,0.5685483870967741,0.04556035284053306
60,"(30, 20)",relu,0.001,adam,1e-05,0.5685483870967741,0.026645467206450307
20,"(30, 20)",relu,0.001,adam,0.0001,0.5672043010752689,0.02741408340641285
17,"(30, 5)",relu,0.01,adam,0.0001,0.5672043010752689,0.017831316077179603
64,"(40, 10)",relu,0.001,adam,1e-05,0.5672043010752689,0.032813321547671255
54,"(20, 20)",relu,0.001,adam,1e-05,0.5658602150537635,0.027709043182914398
0,"(20,)",relu,0.001,adam,0.0001,0.5658602150537635,0.029600424120356524
70,"(50, 10)",relu,0.001,adam,1e-05,0.5658602150537634,0.029231939745875755
26,"(40, 20)",relu,0.001,adam,0.0001,0.5645161290322581,0.02232963404010238
49,"(60,)",relu,0.01,adam,1e-05,0.5645161290322581,0.020295253858254734
55,"(20, 20)",relu,0.01,adam,1e-05,0.5645161290322581,0.029077026415032195
10,"(20, 5)",relu,0.001,adam,0.0001,0.5645161290322581,0.01919738824877114
22,"(40, 5)",relu,0.001,adam,0.0001,0.5631720430107527,0.021547338093926637
75,"(60, 5)",relu,0.01,adam,1e-05,0.5631720430107527,0.0170545397049053
45,"(40,)",relu,0.01,adam,1e-05,0.5618279569892474,0.013707041703206442
42,"(30,)",relu,0.001,adam,1e-05,0.5618279569892474,0.03076753532865485
53,"(20, 10)",relu,0.01,adam,1e-05,0.5618279569892473,0.024043741693546145
34,"(60, 5)",relu,0.001,adam,0.0001,0.5618279569892473,0.03566263215435916
66,"(40, 20)",relu,0.001,adam,1e-05,0.5604838709677419,0.012096774193548427
27,"(40, 20)",relu,0.01,adam,0.0001,0.5604838709677419,0.01905570817037345
19,"(30, 10)",relu,0.01,adam,0.0001,0.5591397849462366,0.017212699562991565
38,"(60, 20)",relu,0.001,adam,0.0001,0.5591397849462366,0.013707041703206442
40,"(20,)",relu,0.001,adam,1e-05,0.5591397849462365,0.042842412501368894
2,"(30,)",relu,0.001,adam,0.0001,0.5577956989247312,0.028480672177979983
78,"(60, 20)",relu,0.001,adam,1e-05,0.5577956989247311,0.025678727385138198
21,"(30, 20)",relu,0.01,adam,0.0001,0.5577956989247311,0.0239307712564044
30,"(50, 10)",relu,0.001,adam,0.0001,0.5564516129032259,0.02507359960507749
29,"(50, 5)",relu,0.01,adam,0.0001,0.5564516129032258,0.015442372705747413
76,"(60, 10)",relu,0.001,adam,1e-05,0.5551075268817205,0.028480672177979966
18,"(30, 10)",relu,0.001,adam,0.0001,0.5537634408602151,0.04717722788920497
71,"(50, 10)",relu,0.01,adam,1e-05,0.5537634408602151,0.06010935423386532
73,"(50, 20)",relu,0.01,adam,1e-05,0.553763440860215,0.031117841136532886
5,"(40,)",relu,0.01,adam,0.0001,0.5524193548387097,0.023163559058621108
56,"(30, 5)",relu,0.001,adam,1e-05,0.5524193548387096,0.024081280735442124
62,"(40, 5)",relu,0.001,adam,1e-05,0.5524193548387096,0.03149294224155911
67,"(40, 20)",relu,0.01,adam,1e-05,0.5524193548387096,0.015265882650000761
15,"(20, 20)",relu,0.01,adam,0.0001,0.5524193548387096,0.020691941288092295
37,"(60, 10)",relu,0.01,adam,0.0001,0.5524193548387096,0.019055708170373453
9,"(60,)",relu,0.01,adam,0.0001,0.5510752688172044,0.021672735882523005
57,"(30, 5)",relu,0.01,adam,1e-05,0.5510752688172044,0.028193786241133133
4,"(40,)",relu,0.001,adam,0.0001,0.549731182795699,0.0170545397049053
11,"(20, 5)",relu,0.01,adam,0.0001,0.5497311827956989,0.03822973831539757
35,"(60, 5)",relu,0.01,adam,0.0001,0.5497311827956989,0.026097429891058625
13,"(20, 10)",relu,0.01,adam,0.0001,0.5497311827956989,0.044027793962793556
47,"(50,)",relu,0.01,adam,1e-05,0.5483870967741935,0.027149206823553998
36,"(60, 10)",relu,0.001,adam,0.0001,0.5483870967741935,0.02550223919490631
44,"(40,)",relu,0.001,adam,1e-05,0.5483870967741935,0.01316929969238269
65,"(40, 10)",relu,0.01,adam,1e-05,0.5483870967741935,0.02082249110864205
25,"(40, 10)",relu,0.01,adam,0.0001,0.5483870967741935,0.012318751868160874
61,"(30, 20)",relu,0.01,adam,1e-05,0.5483870967741935,0.013968151673942589
28,"(50, 5)",relu,0.001,adam,0.0001,0.5470430107526881,0.03273063349969334
74,"(60, 5)",relu,0.001,adam,1e-05,0.5470430107526881,0.034660744511364604
14,"(20, 20)",relu,0.001,adam,0.0001,0.5470430107526881,0.027709043182914398
43,"(30,)",relu,0.01,adam,1e-05,0.5470430107526881,0.038792660456080146
33,"(50, 20)",relu,0.01,adam,0.0001,0.5470430107526881,0.0157321235359135
41,"(20,)",relu,0.01,adam,1e-05,0.5443548387096775,0.04673478131912289
69,"(50, 5)",relu,0.01,adam,1e-05,0.5443548387096775,0.02822580645161292
59,"(30, 10)",relu,0.01,adam,1e-05,0.5443548387096774,0.029722237079967732
6,"(50,)",relu,0.001,adam,0.0001,0.543010752688172,0.011083617273165744
50,"(20, 5)",relu,0.001,adam,1e-05,0.543010752688172,0.023588613944602474
46,"(50,)",relu,0.001,adam,1e-05,0.543010752688172,0.007603298722435988
72,"(50, 20)",relu,0.001,adam,1e-05,0.5416666666666666,0.04803109780969258
7,"(50,)",relu,0.01,adam,0.0001,0.5403225806451613,0.031578871302340696
31,"(50, 10)",relu,0.01,adam,0.0001,0.5389784946236559,0.023930771256404394
68,"(50, 5)",relu,0.001,adam,1e-05,0.5389784946236559,0.04476028442297504
79,"(60, 20)",relu,0.01,adam,1e-05,0.5376344086021505,0.021166687833365096
58,"(30, 10)",relu,0.001,adam,1e-05,0.5362903225806451,0.02744701324820177
51,"(20, 5)",relu,0.01,adam,1e-05,0.5349462365591398,0.02661154552852598
1,"(20,)",relu,0.01,adam,0.0001,0.5268817204301075,0.02620106006669074
52,"(20, 10)",relu,0.001,adam,1e-05,0.5215053763440859,0.04985816395427799
12,"(20, 10)",relu,0.001,adam,0.0001,0.5188172043010754,0.036265423557075405
